Company,Date,Open Price,High Price,Low Price,Close Price,Adjusted Close,Volume,Price Change (%),7-Day Moving Avg,30-Day Moving Avg,Volatility
MSFT,2023-02-07,260.5299988,268.769989,260.0799866,267.5599976,26689.15%,50841400,2.6983452317890952,267.5599976,267.5599976,
MSFT,2023-02-08,273.2000122,276.7600098,266.2099915,266.730011,26606.36%,54686000,-2.368228737582762,267.1450043,267.1450043,0.5868891531539551
MSFT,2023-02-09,273.7999878,273.980011,262.7999878,263.6199951,26296.14%,42375100,-3.718039866180014,265.97000123333333,265.97000123333333,2.0770450305838652
MSFT,2023-02-10,261.5299988,264.0899963,260.6600037,263.1000061,26244.27%,25818500,0.6003163335769442,265.25250244999995,265.25250244999995,2.221552472721436
MSFT,2023-02-13,267.6400146,274.6000061,267.1499939,271.3200073,27064.21%,44630900,1.3749785156378533,266.46600342,266.46600342,3.326318469832032
MSFT,2023-02-14,272.6700134,274.9700012,269.2799988,272.1700134,27149.00%,37047900,-0.18337183240846971,267.41667175,267.41667175,3.778112927399943
MSFT,2023-02-15,268.3200073,270.730011,266.1799927,269.3200073,26932.00%,28922400,0.3726893160381932,267.6885768285714,267.6885768285714,3.5231578182684387
MSFT,2023-02-16,264.019989,266.7399902,261.8999939,262.1499939,26215.00%,29603600,-0.7082778493714667,266.91571915714286,266.99625396249996,4.101911169426519
MSFT,2023-02-17,259.3900146,260.0899963,256.0,258.0599976,25806.00%,30000100,-0.512747956798179,265.6771458142857,266.0033365888889,5.3010206682260215
MSFT,2023-02-21,254.4799957,255.4900055,251.5899963,252.6699982,25267.00%,28397400,-0.7112533521627925,264.11286054285716,264.67000275,7.262116563319416
MSFT,2023-02-22,254.0899963,254.3399963,250.3399963,251.5099945,25151.00%,22491100,-1.0153889714547533,262.45714460000005,263.4736383636363,8.708679705359053
MSFT,2023-02-23,255.5599976,256.8399963,250.4799957,254.7700043,25477.00%,29219100,-0.3091224399041049,260.0928584571429,262.74833552499996,8.128750019312985
MSFT,2023-02-24,249.9600067,251.0,248.1000061,249.2200012,24922.00%,24990900,-0.29604955999546917,256.81428528571433,261.70769442307693,6.994968672748926
MSFT,2023-02-27,252.4600067,252.8200073,249.3899994,250.1600037,25016.00%,21190000,-0.9110365756795346,254.0771419142857,260.88285937142854,4.637172699492905
MSFT,2023-02-28,249.0700073,251.4900055,248.7299957,249.4199982,24942.00%,22491000,0.1405190869001203,252.25857109999998,260.11866862666665,3.2245897314178245
MSFT,2023-03-01,250.7599945,250.9299927,245.7899933,246.2700043,24627.00%,27565300,-1.7905528387623226,250.5742863428571,259.25312710625,2.7305845069309
MSFT,2023-03-02,246.5500031,251.3999939,245.6100006,251.1100006,25111.00%,24808200,1.849522385992624,250.35142954285715,258.7741196647059,2.5911347578792516
MSFT,2023-03-03,252.1900024,255.6199951,251.3899994,255.2899933,25529.00%,30760100,1.229228308219404,250.89142937142856,258.5805570888889,3.196086578937454
MSFT,2023-03-06,256.4299927,260.1199951,255.9799957,256.8699951,25687.00%,24109800,0.171587728629986,251.19142805714287,258.4905275105263,3.6823843438429513
